t,x,y,z,roll,pitch,yaw
1756381098.585556,82.91976227297846,-1.4538815284597186,0.2187315382757293,-0.09349035067860788,0.05280639505055155,2.7445387362612244
1756381111.262627,14.517732791831683,-28.030831148334624,0.13584706450402462,-0.014643622606865404,0.060581806205013584,1.061317534731181
1756381123.939073,6.131502702520201,-32.51670714132883,0.19140217988892347,0.00877170405796376,0.06055450139227357,2.110934665629029
1756381136.616755,14.036899612499735,-29.693487944468085,0.1900366233003996,0.02139042116508455,0.05149168170763921,1.7195101453457018
1756381149.292551,26.061187907213128,-24.67604948515447,0.15074753689398768,0.003845895231262609,0.08567883917770514,1.9200069706757912
1756381161.97012,38.88639646565145,-17.82234592134024,0.16427604021835981,0.018322373045572327,0.04622793786413406,1.7126551242991388
1756381174.64658,51.21737248875689,-12.332846477482224,0.1438048009514682,-0.05973459392056365,0.061483926908035884,1.8573686239420646
1756381187.323265,64.27913523493254,-7.214015481468337,0.1763523363074634,-0.053650057291561686,0.015813876451326557,1.7960989616656258
1756381200.00124,76.96068483616212,-1.5783627490743861,0.17749095335187576,-0.07666991255078466,0.031809798823156064,1.7886692450440358
1756381212.67737,88.95477485120135,2.7212884507164854,0.18959301436737352,-0.011014519398324056,-0.008115948095811459,1.9702124646154764
1756381222.819145,98.8582281255359,7.445887234821729,0.15841307770291932,-0.010455975289100092,0.028273249634108776,1.7665343970524063
1756381222.819145,98.8582281255359,7.445887234821729,0.15841307770291932,-0.010455975289100092,0.028273249634108776,1.7665343970524063
1756381222.819145,98.8582281255359,7.445887234821729,0.15841307770291932,-0.010455975289100092,0.028273249634108776,1.7665343970524063
1756381314.590065,166.60505765211676,11.203200163511186,3.7861992686007158,0.1967197442527523,-0.1882942626875404,-0.9828684957534529
1756381327.266261,177.43467215356523,9.368793477526072,4.776380156847491,-0.030251869321885966,-0.08453524947942248,-0.6011994357485391
1756381339.943705,188.9253415114866,7.154096481484507,4.780778305602753,-0.06149919290748226,-0.05714575333955783,-0.7267484844560554
1756381352.62064,200.43520934133863,4.5685024108003045,4.923923185204527,0.06712211190247537,-0.04720825787941256,-0.8219832972103052
1756381365.297842,212.8491057682318,1.9128384495828548,4.793960905995077,-0.05967144226642506,-0.07424769554201878,-0.8237947673524624
1756381377.973787,225.93442859909484,-0.6324984550332049,4.79619084928219,-0.016212869355886488,-0.08059024975545473,-0.8815368130655526
1756381390.650981,238.72843105926816,-2.397253817650059,4.824961518460111,0.014296369418081118,-0.08865983045301763,-0.8829784752504929
1756381403.328556,251.22929073558072,-3.945771397833978,4.795637128467419,0.00014201137830091871,-0.060827564433868636,-0.8876640564084736
1756381416.004253,264.0159139604695,-5.484035010391855,4.873721447154666,0.013376352632101088,-0.07291276232095166,-0.8970049207826539
1756381428.681442,276.6266941281964,-6.982281055031654,4.857305936648584,0.06526539290003708,-0.08063887791807008,-0.9248644389014761
1756381441.358138,289.34027675069206,-8.433832138494829,4.779680179851995,0.06089977328009495,-0.08613336324125571,-0.9296475153818198
1756381454.03583,302.1828824808203,-9.621331365400094,4.796075329171275,0.03400419241962913,-0.06832016691721741,-0.9347052643617241
1756381466.712277,315.0977458362034,-10.874740722087799,4.815895383207128,0.0687473832910181,-0.08607877868573785,-0.9193489666959783
1756381479.38923,328.21780709778574,-11.99506003654801,4.839758627749406,0.07988576043641984,-0.08531064481799919,-0.9638936260461378
1756381492.066545,341.5721524812249,-12.993265729205525,4.773678841309958,-0.0015208497797140953,-0.0883662311454785,-0.9773346135474702
1756381504.742484,354.5238422514805,-13.687845682723735,4.7829764410009386,-0.0486674020808179,-0.18344953286679333,-1.2258320485175918
1756381517.420055,368.0734169256321,-16.12404149570421,6.01032479471774,0.0512044088279302,-0.23344111781359964,-2.594412301926447
1756381530.096243,382.41871809837744,-20.034413604476157,7.371670100698656,0.11882396980102423,-0.22475672195249818,-2.3473380133702717
1756381542.773572,397.2469720013911,-23.58194551844124,8.648224223117278,-0.009260756578389826,-0.1713122297266959,2.5608801377842423
1756381555.450139,414.6213965651768,-22.068668669210084,9.259819811571582,0.009409589549197076,-0.2144385319971162,2.031639031461735
1756381568.127817,425.34788925902905,-18.04832894264149,9.457215564629543,0.1309987378995025,-0.13818007293259524,1.6435386294784955
1756381580.804031,439.6833051210443,-14.205963177193157,9.413654958047447,-0.04124466919137575,-0.20548994039238372,1.8999026588045729
1756381593.480476,453.62510577854573,-9.783929298133105,9.517395189478966,0.012105566606924667,-0.15529604951081102,1.715394464139558
1756381606.158296,466.7863479682919,-5.184982805399681,9.534178484534035,0.006909830985569685,-0.15423855067123945,1.7814740730734875
1756381618.834366,480.53213426560876,-0.5737303348974596,9.453572321654905,-0.021828425374064687,-0.1445711763186049,1.6942423084446396
1756381631.511191,493.6156837837508,3.9733896094076835,9.306260012998134,0.0868431964408289,-0.20313495854731212,1.6919973662263756
