timestamp (seconds since 01/01/1970), system, entity , value (m/s)
1756381031.908238, lauv-fridtjof, 71, 1481.390015
1756381031.966539, lauv-fridtjof, 71, 1481.390015
1756381032.024879, lauv-fridtjof, 71, 1481.390015
1756381032.051379, lauv-fridtjof, 61, 1480.876465
1756381032.074985, lauv-fridtjof, 71, 1481.400024
1756381032.134165, lauv-fridtjof, 71, 1481.400024
1756381032.191609, lauv-fridtjof, 71, 1481.400024
1756381032.249908, lauv-fridtjof, 71, 1481.400024
1756381032.255008, lauv-fridtjof, 61, 1480.864502
1756381032.299903, lauv-fridtjof, 71, 1481.390015
1756381032.358173, lauv-fridtjof, 71, 1481.390015
1756381032.416654, lauv-fridtjof, 71, 1481.380005
1756381032.451443, lauv-fridtjof, 61, 1480.872437
1756381032.474982, lauv-fridtjof, 71, 1481.390015
1756381032.524895, lauv-fridtjof, 71, 1481.390015
1756381032.583468, lauv-fridtjof, 71, 1481.390015
1756381032.641572, lauv-fridtjof, 71, 1481.390015
1756381032.653384, lauv-fridtjof, 61, 1480.879639
1756381032.699916, lauv-fridtjof, 71, 1481.390015
1756381032.749891, lauv-fridtjof, 71, 1481.390015
1756381032.809463, lauv-fridtjof, 71, 1481.400024
1756381032.852341, lauv-fridtjof, 61, 1480.888306
1756381032.866560, lauv-fridtjof, 71, 1481.400024
1756381032.924895, lauv-fridtjof, 71, 1481.400024
1756381032.975093, lauv-fridtjof, 71, 1481.400024
1756381033.034301, lauv-fridtjof, 71, 1481.410034
1756381033.053894, lauv-fridtjof, 61, 1480.880615
1756381033.091650, lauv-fridtjof, 71, 1481.410034
1756381033.149870, lauv-fridtjof, 71, 1481.410034
1756381033.199991, lauv-fridtjof, 71, 1481.420044
1756381033.253277, lauv-fridtjof, 61, 1480.855957
1756381033.258245, lauv-fridtjof, 71, 1481.420044
1756381033.316640, lauv-fridtjof, 71, 1481.410034
1756381033.374998, lauv-fridtjof, 71, 1481.420044
1756381033.424904, lauv-fridtjof, 71, 1481.410034
1756381033.454436, lauv-fridtjof, 61, 1480.879028
1756381033.483263, lauv-fridtjof, 71, 1481.410034
1756381033.541558, lauv-fridtjof, 71, 1481.410034
1756381033.600040, lauv-fridtjof, 71, 1481.400024
1756381033.651821, lauv-fridtjof, 61, 1480.879883
1756381033.650865, lauv-fridtjof, 71, 1481.400024
1756381033.708925, lauv-fridtjof, 71, 1481.410034
1756381033.766595, lauv-fridtjof, 71, 1481.410034
1756381033.824894, lauv-fridtjof, 71, 1481.420044
1756381033.855283, lauv-fridtjof, 61, 1480.882202
1756381033.874972, lauv-fridtjof, 71, 1481.430054
1756381033.933932, lauv-fridtjof, 71, 1481.439941
1756381033.991586, lauv-fridtjof, 71, 1481.439941
1756381034.049903, lauv-fridtjof, 71, 1481.439941
1756381034.051325, lauv-fridtjof, 61, 1480.879883
1756381034.099955, lauv-fridtjof, 71, 1481.449951
1756381034.158835, lauv-fridtjof, 71, 1481.439941
1756381034.218265, lauv-fridtjof, 71, 1481.439941
1756381034.253964, lauv-fridtjof, 61, 1480.882202
1756381034.275031, lauv-fridtjof, 71, 1481.439941
1756381034.324929, lauv-fridtjof, 71, 1481.439941
1756381034.383240, lauv-fridtjof, 71, 1481.439941
1756381034.441551, lauv-fridtjof, 71, 1481.430054
1756381034.454683, lauv-fridtjof, 61, 1480.890015
1756381034.499985, lauv-fridtjof, 71, 1481.430054
1756381034.549873, lauv-fridtjof, 71, 1481.439941
1756381034.608353, lauv-fridtjof, 71, 1481.459961
1756381034.659822, lauv-fridtjof, 61, 1480.892456
1756381034.666572, lauv-fridtjof, 71, 1481.469971
1756381034.724919, lauv-fridtjof, 71, 1481.479980
1756381034.775009, lauv-fridtjof, 71, 1481.479980
1756381034.833982, lauv-fridtjof, 71, 1481.479980
1756381034.855899, lauv-fridtjof, 61, 1480.900391
1756381034.891639, lauv-fridtjof, 71, 1481.469971
1756381034.949965, lauv-fridtjof, 71, 1481.459961
1756381034.999929, lauv-fridtjof, 71, 1481.459961
1756381035.056423, lauv-fridtjof, 61, 1480.895508
1756381035.061021, lauv-fridtjof, 71, 1481.449951
1756381035.116914, lauv-fridtjof, 71, 1481.449951
1756381035.174985, lauv-fridtjof, 71, 1481.449951
1756381035.224976, lauv-fridtjof, 71, 1481.449951
1756381035.252244, lauv-fridtjof, 61, 1480.897949
1756381035.283165, lauv-fridtjof, 71, 1481.449951
1756381035.341544, lauv-fridtjof, 71, 1481.449951
1756381035.399970, lauv-fridtjof, 71, 1481.449951
1756381035.449934, lauv-fridtjof, 71, 1481.459961
1756381035.454046, lauv-fridtjof, 61, 1480.893311
1756381035.509033, lauv-fridtjof, 71, 1481.469971
1756381035.566597, lauv-fridtjof, 71, 1481.469971
1756381035.624990, lauv-fridtjof, 71, 1481.469971
1756381035.655466, lauv-fridtjof, 61, 1480.895752
1756381035.674965, lauv-fridtjof, 71, 1481.469971
1756381035.733252, lauv-fridtjof, 71, 1481.469971
1756381035.791609, lauv-fridtjof, 71, 1481.469971
1756381035.849871, lauv-fridtjof, 71, 1481.469971
1756381035.854891, lauv-fridtjof, 61, 1480.880737
1756381035.899958, lauv-fridtjof, 71, 1481.469971
1756381035.958551, lauv-fridtjof, 71, 1481.479980
1756381036.016892, lauv-fridtjof, 71, 1481.469971
1756381036.054689, lauv-fridtjof, 61, 1480.876831
1756381036.074979, lauv-fridtjof, 71, 1481.469971
1756381036.124947, lauv-fridtjof, 71, 1481.479980
