timestamp (seconds since 01/01/1970), system, entity , value (m)
1756381033.541391, lauv-fridtjof, 71, 0.109433
1756381033.599877, lauv-fridtjof, 71, 0.109433
1756381033.650103, lauv-fridtjof, 71, 0.109433
1756381033.708073, lauv-fridtjof, 71, 0.109433
1756381033.766433, lauv-fridtjof, 71, 0.109433
1756381033.824725, lauv-fridtjof, 71, 0.109433
1756381033.874760, lauv-fridtjof, 71, 0.099485
1756381033.933095, lauv-fridtjof, 71, 0.099485
1756381033.991370, lauv-fridtjof, 71, 0.099485
1756381034.049736, lauv-fridtjof, 71, 0.099485
1756381034.099749, lauv-fridtjof, 71, 0.109433
1756381034.158025, lauv-fridtjof, 71, 0.119381
1756381034.217037, lauv-fridtjof, 71, 0.119381
1756381034.274782, lauv-fridtjof, 71, 0.129330
1756381034.324752, lauv-fridtjof, 71, 0.129330
1756381034.383038, lauv-fridtjof, 71, 0.139278
1756381034.441384, lauv-fridtjof, 71, 0.149227
1756381034.499782, lauv-fridtjof, 71, 0.139278
1756381034.549708, lauv-fridtjof, 71, 0.139278
1756381034.608151, lauv-fridtjof, 71, 0.139278
1756381034.666409, lauv-fridtjof, 71, 0.139278
1756381034.724758, lauv-fridtjof, 71, 0.129330
1756381034.774761, lauv-fridtjof, 71, 0.119381
1756381034.833115, lauv-fridtjof, 71, 0.119381
1756381034.891427, lauv-fridtjof, 71, 0.109433
1756381034.949793, lauv-fridtjof, 71, 0.109433
1756381034.999763, lauv-fridtjof, 71, 0.119381
1756381035.060120, lauv-fridtjof, 71, 0.119381
1756381035.116747, lauv-fridtjof, 71, 0.129330
1756381035.174773, lauv-fridtjof, 71, 0.139278
1756381035.224804, lauv-fridtjof, 71, 0.139278
1756381035.283005, lauv-fridtjof, 71, 0.139278
1756381035.341375, lauv-fridtjof, 71, 0.149227
1756381035.399803, lauv-fridtjof, 71, 0.139278
1756381035.449769, lauv-fridtjof, 71, 0.149227
1756381035.508070, lauv-fridtjof, 71, 0.149227
1756381035.566434, lauv-fridtjof, 71, 0.139278
1756381035.624829, lauv-fridtjof, 71, 0.139278
1756381035.674759, lauv-fridtjof, 71, 0.139278
1756381035.733055, lauv-fridtjof, 71, 0.139278
1756381035.791397, lauv-fridtjof, 71, 0.139278
1756381035.849709, lauv-fridtjof, 71, 0.149227
1756381035.899763, lauv-fridtjof, 71, 0.159175
1756381035.958382, lauv-fridtjof, 71, 0.159175
1756381036.016486, lauv-fridtjof, 71, 0.169124
1756381036.074767, lauv-fridtjof, 71, 0.169124
1756381036.124780, lauv-fridtjof, 71, 0.169124
1756381036.183032, lauv-fridtjof, 71, 0.179072
1756381036.241387, lauv-fridtjof, 71, 0.169124
1756381036.299783, lauv-fridtjof, 71, 0.169124
1756381036.349804, lauv-fridtjof, 71, 0.169124
1756381036.408008, lauv-fridtjof, 71, 0.169124
1756381036.466395, lauv-fridtjof, 71, 0.169124
1756381036.524762, lauv-fridtjof, 71, 0.169124
1756381036.574767, lauv-fridtjof, 71, 0.169124
1756381036.633066, lauv-fridtjof, 71, 0.169124
1756381036.691419, lauv-fridtjof, 71, 0.159175
1756381036.749760, lauv-fridtjof, 71, 0.169124
1756381036.799846, lauv-fridtjof, 71, 0.169124
1756381036.858269, lauv-fridtjof, 71, 0.169124
1756381036.916418, lauv-fridtjof, 71, 0.179072
1756381036.974805, lauv-fridtjof, 71, 0.179072
1756381037.024989, lauv-fridtjof, 71, 0.179072
1756381037.083092, lauv-fridtjof, 71, 0.189021
1756381037.141390, lauv-fridtjof, 71, 0.189021
1756381037.199831, lauv-fridtjof, 71, 0.179072
1756381037.249717, lauv-fridtjof, 71, 0.179072
1756381037.308039, lauv-fridtjof, 71, 0.169124
1756381037.366390, lauv-fridtjof, 71, 0.179072
1756381037.424767, lauv-fridtjof, 71, 0.179072
1756381037.474801, lauv-fridtjof, 71, 0.189021
1756381037.533120, lauv-fridtjof, 71, 0.179072
1756381037.591410, lauv-fridtjof, 71, 0.198969
1756381037.649746, lauv-fridtjof, 71, 0.208917
