timestamp (seconds since 01/01/1970), system, entity , validity (bitfield), x (m/s), y (m/s), z (m/s)
1756381035.854891, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.39467847, -0.20299301, 0.1021906
1756381036.054689, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.42461568, -0.17614561, 0.01532788
1756381036.250446, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.41592425, -0.14178652, -0.00317442
1756381036.456581, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.42383331, -0.15038818, 0.02209023
1756381036.652997, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.4558678, -0.16135207, 0.02331698
1756381036.855471, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.48600289, -0.16203737, -0.02029823
1756381037.051834, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.4829061, -0.14001244, -0.03683492
1756381037.254029, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.47154528, -0.08693937, -0.00139736
1756381037.451993, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.47979528, -0.05321529, 0.02483301
1756381037.651493, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.53547961, -0.03644913, -0.05122187
1756381037.854426, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.57922852, 0.00131044, -0.04394047
1756381038.054377, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.56303191, 0.02763204, 0.04023368
1756381038.255119, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.63801008, 0.02187821, 0.05210052
1756381038.449896, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.75073391, 0.03729515, -0.01006224
1756381038.651322, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.75090694, 0.08173832, -0.03419368
1756381038.854370, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.69283712, 0.12181549, 0.00600611
1756381039.053339, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.69878739, 0.13112512, 0.03560805
1756381039.253387, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.7638669, 0.13571003, 0.03511268
1756381039.451824, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.86597121, 0.12233719, 0.0119543
1756381039.654294, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.93141556, 0.14274788, 0.0060304
1756381039.854511, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.99873292, 0.14561416, 0.02465946
1756381040.053123, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.05813098, 0.15621893, 0.02429169
1756381040.256010, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.11891866, 0.15069026, 0.01761857
1756381040.450524, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.1359812, 0.18966916, 0.02195362
1756381040.653976, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.14536953, 0.16494986, 0.01475055
1756381040.853479, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.15659308, 0.13106865, -0.02799326
1756381041.062922, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.19052029, 0.11265156, -0.02487799
1756381041.259374, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.20977044, 0.10410765, 0.00239597
1756381041.463388, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.24470425, 0.07451493, 0.00358938
1756381041.658109, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.29130757, 0.07061386, 0.00872467
1756381041.854718, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.34096718, 0.05637404, 0.01517071
1756381042.057153, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.36912704, 0.03309017, 0.00920101
1756381042.255245, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.40148866, 0.01049924, 0.00660488
1756381042.456639, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.43251288, -0.01685145, 0.01804084
1756381042.652498, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.45749223, -0.03285503, 0.01792207
1756381042.853681, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.49479723, -0.0447084, 0.0196683
1756381043.053382, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.50949717, -0.050394, 0.01602078
1756381043.255414, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.53162098, -0.0667491, 0.01953334
1756381043.449568, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.54207468, -0.06958899, 0.02295066
1756381043.654134, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.56619716, -0.05014622, 0.02830294
1756381043.853340, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.55062044, -0.04870716, 0.0246602
1756381044.057492, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.57490587, -0.04226777, 0.02528267
