timestamp (seconds since 01/01/1970), system, entity , type (bitfield), reason (enumerated), value (m/s), timestep (s)
1756381875.619278, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.832386, 0.149736
1756381875.743504, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.832401, 0.100237
1756381875.863761, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.832420, 0.100083
1756381875.991646, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.832424, 0.149927
1756381876.119373, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.832424, 0.149924
1756381876.621611, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.090286, 0.147115
1756381876.758477, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.090282, 0.100058
1756381876.884890, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.090286, 0.149941
1756381877.009927, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.090286, 0.100115
1756381877.134613, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.090298, 0.149935
1756381877.386095, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.941265, 0.149939
1756381878.015067, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.047188, 0.149663
1756381878.148533, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.047192, 0.100294
1756381878.282403, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.047195, 0.150010
1756381878.408414, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.047195, 0.100080
1756381878.529745, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.047203, 0.149842
1756381878.660006, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.047222, 0.100199
1756381878.783930, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.047241, 0.150587
1756381878.905710, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.047256, 0.099386
1756381879.037751, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.047272, 0.149868
1756381879.153891, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.047268, 0.100077
1756381879.655680, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.891830, 0.100141
1756381879.786162, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.891834, 0.149960
1756381879.913878, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.891838, 0.100133
1756381880.043745, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.891842, 0.149809
1756381880.172560, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.891853, 0.149951
1756381880.293853, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.891853, 0.100168
1756381880.422827, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.891842, 0.149829
1756381881.046482, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.912907, 0.099871
1756381881.179651, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.912910, 0.150005
1756381881.311507, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.912907, 0.100103
1756381881.439436, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.912910, 0.149896
1756381881.572119, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.912907, 0.149887
1756381881.695586, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.912910, 0.100160
1756381881.819709, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.912926, 0.151051
1756381881.949774, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.912945, 0.098844
1756381882.072518, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.912960, 0.149929
1756381882.193068, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.912971, 0.100081
1756381882.316086, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.912975, 0.149697
1756381882.821490, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.889221, 0.149876
1756381883.207958, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.739784, 0.100067
1756381883.459404, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.672176, 0.100122
1756381883.584096, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.672165, 0.149864
1756381884.596731, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.026638, 0.099904
1756381884.737046, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.026657, 0.149881
1756381884.851954, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.026680, 0.100025
1756381885.107286, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.766567, 0.100085
1756381885.228224, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.766579, 0.149979
1756381885.354160, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.766594, 0.100114
1756381885.730766, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.996227, 0.149842
1756381885.857564, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.996223, 0.100156
1756381885.986528, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.996227, 0.149898
1756381886.113967, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.996239, 0.100455
1756381886.363297, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.595459, 0.100041
